Uniq Id,Crawl Timestamp,Pageurl,Website,Title,Num Of Reviews,Average Rating,Number Of Ratings,Model Num,Sku,Upc,Manufacturer,Model Name,Price,Monthly Price,Carrier,Color Category,Internal Memory,Screen Size,Five Star,Four Star,Three Star,Two Star,One Star
3ec888b73a1a3d2f15fc73fc8d523e4b,2020-04-18 01:57:55 +0000,https://www.walmart.com/ip/BLU-G9-G0130WW-64GB-Unlocked-GSM-Phone-w-Dual-13MP-and-2MP-Camera-Black-includes-1-FREE-GB-DATA-with-SIMO/409487459,walmart.com,"",7,5,5.0,"",409487459,"","","",169.99,,"",Black,"","",7,0,0,0,0
21582ee76a2b4f8e4b563173c776a3d7,2020-05-19 06:56:11 +0000,https://www.walmart.com/ip/ABLEGRID-12V-AC-DC-Adapter-For-CCTV-Security-Camera-1AR-Switching-Power-Supply-Cord-Cable-Charger-Mains-PSU/847081244,walmart.com,ABLEGRID 12V AC/DC Adapter For CCTV Security Camera 1AR Switching Power Supply Cord Cable Charger Mains PSU,"",0,0,"",847081244,650234529749,Ablegrid,"",14.99,,,"",,,"","","","",""
3620c6b47eaaf4ba8bf6a3fd2466c14c,2020-06-28 03:31:52 +0000,https://www.walmart.com/ip/EcoXGear-EcoDrop-Black-2-4-x-2-4-Waterproof-EcoDrop-Speaker/502532634,walmart.com,"EcoXGear EcoDrop Hot Purple 2.4"" x 2.4"" Waterproof EcoDrop Speaker",NA,0.0,0,NA,228973139,819127012823,Grace Digital,NA,19.99,NA,NA,Hot Purple,NA,NA,NA,NA,NA,NA,NA
e1301ef7ad63483b28a8c6f51dbc8f3c,2020-05-05 02:55:43 +0000,https://www.walmart.com/ip/U8-Bluetooth-Smart-Wrist-Watch-Phone-Mate-For-IOS-Android-iPhone-Samsung-HTC-LG/203503672,walmart.com,"","",0,0,"",770881742,"","","",13.99,,,Black,,"","","","","",""
34e82e93db54e0e1acb24ad907d58fba,2020-04-15 01:27:24 +0000,https://www.walmart.com/ip/The-Dark-Knight-Rises-Batman-Light-Up-Child/21867645,walmart.com,,3,2,2.0,,21867644,,,,35.02,,,"",,,0,1,0,0,2
00f9d56b25b5a65ef47d5f7ef0dcebda,2020-06-11 05:08:46 +0000,https://www.walmart.com/ip/Syma-X21-Mini-WIFI-FPV-RTF-2-4G-4CH-RC-Drone-Quadcopter-with-720p-HD-Camera-and-Altitude-Hold-Function-Toys-Christmas-Gifts-for-Kids-Beginners-Red/940598919,walmart.com,,"",0.0,0,,940598919,,,,33.47,,,Red,,,"","","","",""
a88a7f82ab4ba3dc651f0a5d033d29f8,2020-04-08 02:59:38 +0000,https://www.walmart.com/ip/Outdoor-TV-Cover-TITAN-Series-Universal-Weatherproof-Protector-for-40-42-TV/193274406,walmart.com,,2,5,5.0,,193274406,,,,19.95,,,"",,,2,0,0,0,0
83455358e4cfcafbab96a42d9254a57c,2020-05-27 01:44:55 +0000,https://www.walmart.com/ip/Wireless-Night-CAM-WIFI-4CH-2MP-5-NVR-Security-System-1080P-2MP-Drive-Camera-8CH-Disk-1TB-CUT-IP-IR-Hard-2020-H265-Range-P2P-Surveillance-4pcs-Vision/618299771,walmart.com,"","",0,0,"",618299771,"","","",248.00,,,"",,,"","","","",""
da9c297b3a899fc7918cc1930be6a75f,2020-05-20 08:09:50 +0000,https://www.walmart.com/ip/Night-Owl-4-Pack-Add-on-5MP-HD-Wired-Cameras-with-Built-in-Spotlights/936016445,walmart.com,"",9,4.2,4.2,"",936016445,"","","",169.99,,,"",,,5,2,1,1,0
e0e55e8b331faccc2453f1bd49a6da60,2020-06-30 09:21:40 +0000,https://www.walmart.com/ip/200-300Pcs-Blue-Pleated-Bouffant-Caps-Disposable-Hair-Net-Cap-Double-Stitched-Elastic-Band-Kitchen-Medical-Non-Woven-Head-Covers-Latex-Free-Hospital-/264707873,walmart.com,"200/300Pcs Blue Pleated Bouffant Caps, Disposable Hair Net Cap with Double Stitched Elastic Band, Kitchen Medical Non-Woven Head Covers, Latex Free, Hospital, Spa, Clean Room",1,1.0,1,NA,264707873,353515528546,CVLIFE,NA,22.99,NA,NA,Blue,NA,NA,0,0,0,0,1
e76882bca3ff63797d1d756458a40cfb,2020-05-04 01:41:05 +0000,https://www.walmart.com/ip/JBL-E25BT-Wireless-In-Ear-Headphones-with-Long-Lasting-Battery/207844153,walmart.com,JBL E25BT Wireless In-Ear Headphones with Long-Lasting Battery,127,3.2,3.1,JBLE25BTBLU,120706417,050036335744,Harman Kardon,JBLE25BTBLU,24.99,,,Red,,"",40,24,13,20,30
6e56292a8a12632f0ce35b2242a5f91a,2020-06-22 02:06:56 +0000,https://www.walmart.com/ip/Apple-Watch-Series-5-GPS-Cellular-40mm-Space-Gray-Aluminum-Case-with-Black-Sport-Band-S-M-M-L/882432328,walmart.com,"Apple Watch Series 5 GPS + Cellular, 40mm Gold Aluminum Case with Pink Sand Sport Band - S/M & M/L",122,4.8,4.8,MWWP2LL/A,361309125,190199281363,Apple,MWWP2LL/A,399,NA,NA,Gold Aluminum/Pink Sand,NA,NA,110,9,1,0,2
513048d7d5c3fb9344bf45d2e734fca9,2020-05-04 04:06:56 +0000,https://www.walmart.com/ip/Shockproof-Hybrid-Case-Cover-by-KIQ-For-Apple-iPad-Mini-1st-2nd-3rd-Gen-7-9-inch-Black-Black/910650917,walmart.com,Shockproof Hybrid Case Cover by KIQ For Apple iPad Mini 1st 2nd 3rd Gen 7.9-inch (Black/Hot Pink),2,1.5,1.5,ambi-0738,211279603,610696451583,KIQ,ambi-0738,7.99,,,Black/Red,,"",0,0,0,1,1
90cb6b955152cefb49fa7ce51c38b45b,2020-06-30 03:13:10 +0000,https://www.walmart.com/ip/Apple-iPhone-SE-16GB-Unlocked-GSM-4G-LTE-Phone-w-12MP-Camera-Space-Gray-Certified-Refurbished/953108290,walmart.com,"Apple iPhone SE - Smartphone - 4G LTE - 16 GB - GSM Unlocked- 4"" - 1136 x 640 pixels (326 ppi) - Retina - 12 MP (1.2 MP front camera) - refurbished - pre-owned - space gray",NA,0.0,0,SE,716925108,759776430978,Apple,SE,239.99,NA,GSM,Gray,16 GB,4inch,NA,NA,NA,NA,NA
69fa391c558187162dcf1b6add920c32,2020-04-13 00:50:52 +0000,https://www.walmart.com/ip/Hanes-Men-s-and-Big-Men-s-Ecosmart-Short-Sleeve-Tee-Up-To-Size-3XL/40196447,walmart.com,,877,4.3,4.3,,166157446,,,,10.50,,,Black,,,572,141,67,32,65
0b457e9b518711f104fff1b117505be2,2020-04-22 03:19:37 +0000,https://www.walmart.com/ip/iConnect-by-Timex-Classic-Round-Black-Smartwatch-Black-Silicone-Strap/905980578,walmart.com,"",5,2.8,2.8,"",841030230,"","","",74.99,,,Gray,,"",0,2,0,3,0
905a5421f3c9cb81a82186b9fd2a8a39,2020-05-22 01:10:54 +0000,https://www.walmart.com/ip/Loop-Frame-Milanese-Strap-Replacement-Band-Metal-Steel-Fitbit-Smart-Accessories-Bracelet-Blaze-Watch-Band-Stainless-Fitness-Gold/473849232,walmart.com,"Fitbit Blaze Accessories Watch Band, Milanese Loop Stainless Steel Replacement Bracelet Strap Band + Metal Frame for Fitbit Blaze Smart Fitness Watch (Gold)",7,3.7,5,"",516644184,722698968492,Mignova,"",20.89,,"",Rose Gold,"","",2,3,1,0,1
795df8f50b1c1215d83b5e5747733a2a,2020-06-11 04:25:41 +0000,https://www.walmart.com/ip/Schlage-BE365VCAM619-Satin-Nickel-Camelot-Keypad-Deadbolt/19866560,walmart.com,,18,4.5,4.5,,19866560,,,,109.00,,,"",,,15,1,0,0,2
4aa805ce838936e9229827077882b195,2020-05-07 06:02:35 +0000,https://www.walmart.com/ip/TOWNSTEEL-XME-2060-S-626-Classroom-Lck-Stin-Chrome-Sentinel-Lever/48149787,walmart.com,"","",0,0,"",48149787,"","","",435.44,,,"",,,"","","","",""
3907bc045ee7b3b8267dcb509c99021d,2020-06-28 00:58:20 +0000,https://www.walmart.com/ip/iFitness-Activity-Tracker-Smart-Watch-Pedometer-Calorie-Counter-Sleep-Monitor-Watches-Band-For-Android-and-Apple/232823031,walmart.com,iFitness Activity Tracker Smart Watch Pedometer Calorie Counter Sleep Monitor Watches Band For Android and Apple,58,2.7,2.7,IFT2431BK668,831392847,846692255409,American Exchange Group,IFT2431BK668,14.38,NA,NA,Mint/White,NA,NA,13,10,4,8,23
bbf991a34b4752ddfe465fdf1e3be275,2020-04-11 03:38:39 +0000,https://www.walmart.com/ip/Heart-Calorie-Tracker-Waterproof-Activity-Band-Step-Watch-Women-HR-Rate-Pedometer-Smart-Kids-Monitor-Men-Counter-Fitness/310433539,walmart.com,,21,2.6,2.6,,113629217,,,,11.99,,,Purple,,,5,4,1,0,11
8bd036a404d9b5eed7b20f819fc347cc,2020-04-30 03:28:45 +0000,https://www.walmart.com/ip/Wireless-Laptop-Bluetooth-Dongle-Adapter-Windows-8-1-EDR-7-USB-Receiver-Stereo-Compatible-10-Headphones-Pi-PC-8-Linux-4-0-Raspberry-Transfer/912669767,walmart.com,"",1,1,1.0,"",912669767,"","","",6.49,,"",Black,"","",0,0,0,0,1
e956562bdb45e870ad5d657ceb71b2b1,2020-04-21 07:34:12 +0000,https://www.walmart.com/ip/TDVR-8CH-HD-ANA-IP-2SATA-2TB/52124940,walmart.com,"","",0,0,"",52124940,"","","",671.73,,,"",,"","","","","",""
c487094d1a1e0d297696c077a4ae03bf,2020-04-28 02:05:52 +0000,https://www.walmart.com/ip/Tagital-Smart-Watch-Fitness-Tracker-Waterproof-Activity-Tracker-with-Heart-Rate-Monitor-Sleep-Monitor-Pedometer-Calorie-Counter/861481710,walmart.com,"",25,2.9,2.9,"",861481710,"","","",22.22,,,"",,"",7,5,1,2,10
4cb014cfade06a1eabc7777479281515,2020-05-25 13:11:27 +0000,https://www.walmart.com/ip/GE-Dryer-Cycling-4-Wire-Thermostat-WE4M181-AP2044414-PS267926/162713270,walmart.com,"","",0,0,"",162713270,"","","",56.73,,,"",,,"","","","",""
14a1048252bd35ec5ca6c83028f5a1aa,2020-05-23 00:33:42 +0000,https://www.walmart.com/ip/Bluetooth-5-0-Wireless-Earphones-Sports-Headphone-Sport-Bass-Stereo-Cordless-Bluetooth-Earphone-With-Mic-Red/816299360,walmart.com,"","",0,0,"",816299360,"","","",14.99,,"",Red,"","","","","","",""
